date,S0,K,T,type,V_market,r
2026-08-04,4.053606427530466,3.4,0.0821917808219178,call,0.6117,0.025
2026-08-04,4.053606427530466,3.4,0.0821917808219178,put,0.001,0.025
2026-08-04,4.053606427530466,3.45,0.0821917808219178,call,0.5518,0.025
2026-08-04,4.053606427530466,3.45,0.0821917808219178,put,0.001,0.025
2026-08-04,4.053606427530466,3.5,0.0821917808219178,call,0.502,0.025
2026-08-04,4.053606427530466,3.5,0.0821917808219178,put,0.001,0.025
2026-08-04,4.053606427530466,3.55,0.0821917808219178,call,0.4513,0.025
2026-08-04,4.053606427530466,3.55,0.0821917808219178,put,0.001,0.025
2026-08-04,4.053606427530466,3.6,0.0821917808219178,call,0.4019,0.025
2026-08-04,4.053606427530466,3.6,0.0821917808219178,put,0.001,0.025
2026-08-04,4.053606427530466,3.65,0.0821917808219178,call,0.351,0.025
2026-08-04,4.053606427530466,3.65,0.0821917808219178,put,0.001,0.025
2026-08-04,4.053606427530466,3.7,0.0821917808219178,call,0.2959,0.025
2026-08-04,4.053606427530466,3.7,0.0821917808219178,put,0.002,0.025
2026-08-04,4.053606427530466,3.75,0.0821917808219178,call,0.266,0.025
2026-08-04,4.053606427530466,3.75,0.0821917808219178,put,0.0044,0.025
2026-08-04,4.053606427530466,3.8,0.0821917808219178,call,0.2121,0.025
2026-08-04,4.053606427530466,3.8,0.0821917808219178,put,0.0085,0.025
2026-08-04,4.053606427530466,3.85,0.0821917808219178,call,0.18,0.025
2026-08-04,4.053606427530466,3.85,0.0821917808219178,put,0.0159,0.025
2026-08-04,4.053606427530466,3.9,0.0821917808219178,call,0.1342,0.025
2026-08-04,4.053606427530466,3.9,0.0821917808219178,put,0.0267,0.025
2026-08-04,4.053606427530466,3.95,0.0821917808219178,call,0.1002,0.025
2026-08-04,4.053606427530466,3.95,0.0821917808219178,put,0.0422,0.025
2026-08-04,4.053606427530466,4.0,0.0821917808219178,call,0.0703,0.025
2026-08-04,4.053606427530466,4.0,0.0821917808219178,put,0.0649,0.025
2026-08-04,4.053606427530466,4.05,0.0821917808219178,call,0.0498,0.025
2026-08-04,4.053606427530466,4.05,0.0821917808219178,put,0.0924,0.025
2026-08-04,4.053606427530466,4.1,0.0821917808219178,call,0.0325,0.025
2026-08-04,4.053606427530466,4.1,0.0821917808219178,put,0.1237,0.025
2026-08-04,4.053606427530466,4.15,0.0821917808219178,call,0.0212,0.025
2026-08-04,4.053606427530466,4.15,0.0821917808219178,put,0.1613,0.025
2026-08-04,4.053606427530466,4.2,0.0821917808219178,call,0.0126,0.025
2026-08-04,4.053606427530466,4.2,0.0821917808219178,put,0.2048,0.025
2026-08-04,4.053606427530466,4.25,0.0821917808219178,call,0.0073,0.025
2026-08-04,4.053606427530466,4.25,0.0821917808219178,put,0.2406,0.025
2026-08-04,4.053606427530466,4.3,0.0821917808219178,call,0.0039,0.025
2026-08-04,4.053606427530466,4.3,0.0821917808219178,put,0.2912,0.025
2026-08-04,4.053606427530466,4.35,0.0821917808219178,call,0.002,0.025
2026-08-04,4.053606427530466,4.35,0.0821917808219178,put,0.3442,0.025
2026-08-04,4.053606427530466,4.4,0.0821917808219178,call,0.001,0.025
