code,name,price,strike,volume,open_interest,type,fetch_date,expiry_date,T
MOCK_call_3.40_30,模拟call_3.40,0.6117,3.4,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.40_30,模拟put_3.40,0.001,3.4,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.45_30,模拟call_3.45,0.5518,3.45,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.45_30,模拟put_3.45,0.001,3.45,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.50_30,模拟call_3.50,0.502,3.5,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.50_30,模拟put_3.50,0.001,3.5,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.55_30,模拟call_3.55,0.4513,3.55,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.55_30,模拟put_3.55,0.001,3.55,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.60_30,模拟call_3.60,0.4019,3.6,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.60_30,模拟put_3.60,0.001,3.6,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.65_30,模拟call_3.65,0.351,3.65,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.65_30,模拟put_3.65,0.001,3.65,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.70_30,模拟call_3.70,0.2959,3.7,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.70_30,模拟put_3.70,0.002,3.7,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.75_30,模拟call_3.75,0.266,3.75,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.75_30,模拟put_3.75,0.0044,3.75,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.80_30,模拟call_3.80,0.2121,3.8,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.80_30,模拟put_3.80,0.0085,3.8,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.85_30,模拟call_3.85,0.18,3.85,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.85_30,模拟put_3.85,0.0159,3.85,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.90_30,模拟call_3.90,0.1342,3.9,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.90_30,模拟put_3.90,0.0267,3.9,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_3.95_30,模拟call_3.95,0.1002,3.95,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_3.95_30,模拟put_3.95,0.0422,3.95,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_4.00_30,模拟call_4.00,0.0703,4.0,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_4.00_30,模拟put_4.00,0.0649,4.0,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_4.05_30,模拟call_4.05,0.0498,4.05,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
MOCK_put_4.05_30,模拟put_4.05,0.0924,4.05,10000,5000,put,2026-08-04,2026-09-03,0.0821917808219178
MOCK_call_4.10_30,模拟call_4.10,0.0325,4.1,10000,5000,call,2026-08-04,2026-09-03,0.0821917808219178
